country,location_name,latitude,longitude,timezone,last_updated_epoch,last_updated,temperature_celsius,temperature_fahrenheit,condition_text,humidity,cloud,sunrise,sunset,moonrise,moonset
China,Beijing,39.93,116.39,Asia/Shanghai,1693439100,31/08/2023 07:45,21,69.8,Sunny,94,0,5:40 am,6:50 pm,6:45 pm,4:03 am
Bulgaria,Bogot,43.32,24.7,Europe/Sofia,1693439100,31/08/2023 02:45,20.2,68.4,Clear,69,13,6:42 am,8:01 pm,8:06 pm,5:22 am
Comoros,Moroni,-11.7,43.24,Indian/Comoro,1693439100,31/08/2023 02:45,20.8,69.4,Clear,71,2,6:12 am,6:04 pm,5:37 pm,5:37 am
Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville,1693439100,31/08/2023 00:45,27.1,80.8,Clear,48,8,5:59 am,6:00 pm,5:42 pm,5:23 am
Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica,1693439100,30/08/2023 17:45,25,77,Partly cloudy,83,75,5:28 am,5:47 pm,5:49 pm,4:58 am
Croatia,Zagreb,45.8,16,Europe/Zagreb,1693439100,31/08/2023 01:45,17,62.6,Light rain,88,75,6:14 am,7:39 pm,7:48 pm,4:51 am
Cuba,Havana,23.13,-82.36,America/Havana,1693439100,30/08/2023 19:45,31,87.8,Partly cloudy,71,50,7:11 am,7:49 pm,7:55 pm,6:33 am
Cyprus,Nicosia,35.17,33.37,Asia/Famagusta,1693439100,31/08/2023 02:45,25,77,Clear,83,0,6:17 am,7:17 pm,7:16 pm,5:05 am
Czech Republic,Prague,50.08,14.47,Europe/Prague,1693439100,31/08/2023 01:45,14,57.2,Partly cloudy,88,25,6:13 am,7:51 pm,8:04 pm,4:43 am
Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville,1693439100,31/08/2023 00:45,26.6,79.9,Clear,50,8,5:59 am,6:00 pm,5:42 pm,5:23 am
Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen,1693439100,31/08/2023 01:45,14,57.2,Clear,88,0,6:10 am,8:09 pm,8:29 pm,4:27 am
Djibouti,Djibouti,11.6,43.15,Africa/Djibouti,1693439100,31/08/2023 02:45,32.5,90.5,Clear,55,10,5:57 am,6:19 pm,6:04 pm,5:05 am
Dominica,Roseau,15.3,-61.4,America/Dominica,1693439100,30/08/2023 19:45,26,78.8,Partly cloudy,100,50,5:53 am,6:19 pm,6:20 pm,5:16 am
Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo,1693439100,30/08/2023 19:45,29,84.2,Partly cloudy,84,50,6:24 am,6:56 pm,6:58 pm,5:47 am
Ecuador,Quito,-0.22,-78.5,America/Guayaquil,1693439100,30/08/2023 18:45,17.5,63.5,Patchy rain possible,55,85,6:11 am,6:18 pm,6:15 pm,5:47 am
Egypt,Cairo,30.05,31.25,Africa/Cairo,1693439100,31/08/2023 02:45,28,82.4,Clear,62,0,6:30 am,7:21 pm,7:17 pm,5:25 am
El Salvador,San Salvador,13.71,-89.2,America/El_Salvador,1693439100,30/08/2023 17:45,30,86,Partly cloudy,79,25,5:45 am,6:09 pm,6:13 pm,5:14 am
Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo,1693439100,31/08/2023 00:45,24.6,76.3,Partly cloudy,87,48,6:20 am,6:31 pm,6:17 pm,5:39 am
Eritrea,Asmara,15.33,38.93,Africa/Asmara,1693439100,31/08/2023 02:45,17.8,64,Patchy rain possible,65,74,6:11 am,6:38 pm,6:25 pm,5:17 am
Estonia,Tallinn,59.43,24.73,Europe/Tallinn,1693439100,31/08/2023 02:45,18,64.4,Light rain shower,100,75,6:12 am,8:30 pm,8:55 pm,4:12 am
Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane,1693439100,31/08/2023 01:45,10.5,50.9,Clear,77,0,6:11 am,5:42 pm,5:08 pm,5:49 am
Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa,1693439100,31/08/2023 02:45,13,55.4,Moderate rain,100,75,6:17 am,6:35 pm,6:19 pm,5:27 am
Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji,1693439100,31/08/2023 11:45,26,78.8,Partly cloudy,79,75,6:16 am,5:59 pm,5:03 pm,5:27 am
Finland,Helsinki,60.18,24.93,Europe/Helsinki,1693439100,31/08/2023 02:45,18,64.4,Mist,100,100,6:09 am,8:31 pm,8:57 pm,4:06 am
France,Paris,48.87,2.33,Europe/Paris,1693439100,31/08/2023 01:45,14,57.2,Overcast,72,100,7:04 am,8:38 pm,8:50 pm,5:40 am
Gabon,Libreville,0.38,9.45,Africa/Libreville,1693439100,31/08/2023 00:45,25,77,Partly cloudy,89,50,6:19 am,6:26 pm,6:11 pm,5:41 am
Gambia,Banjul,13.45,-16.58,Africa/Banjul,1693439100,30/08/2023 23:45,25,77,Partly cloudy,100,75,6:55 am,7:19 pm,7:13 pm,6:11 am
Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi,1693439100,31/08/2023 03:45,19,66.2,Clear,83,0,6:24 am,7:39 pm,7:41 pm,5:01 am
Germany,Berlin,52.52,13.4,Europe/Berlin,1693439100,31/08/2023 01:45,14,57.2,Clear,88,0,6:13 am,8:00 pm,8:15 pm,4:38 am
Ghana,Accra,5.55,-0.22,Africa/Accra,1693439100,30/08/2023 23:45,26,78.8,Overcast,89,100,5:55 am,6:08 pm,5:57 pm,5:14 am
Greece,Athens,37.98,23.72,Europe/Athens,1693439100,31/08/2023 02:45,26,78.8,Clear,42,0,6:53 am,7:58 pm,8:00 pm,5:40 am
Grenada,Saint George's,12.05,-61.75,America/Grenada,1693439100,30/08/2023 19:45,29,84.2,Partly cloudy,84,25,5:57 am,6:18 pm,6:18 pm,5:22 am
Guatemala,Guatemala City,14.62,-90.53,America/Guatemala,1693439100,30/08/2023 17:45,25,77,Partly cloudy,61,25,5:50 am,6:15 pm,6:19 pm,5:19 am
Guinea,Conakry,9.51,-13.71,Africa/Conakry,1693439100,30/08/2023 23:45,27,80.6,Partly cloudy,89,50,6:46 am,7:05 pm,6:57 pm,6:05 am
Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau,1693439100,30/08/2023 23:45,25,77,Partly cloudy,94,50,6:52 am,7:14 pm,7:07 pm,6:09 am
Guyana,Georgetown,6.8,-58.17,America/Guyana,1693439100,30/08/2023 19:45,28,82.4,Partly cloudy,84,25,5:46 am,6:01 pm,5:58 pm,5:14 am
Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince,1693439100,30/08/2023 19:45,27.7,81.9,Overcast,63,100,6:34 am,7:05 pm,7:09 pm,5:57 am
Vatican City,Vatican City,41.9,12.45,Europe/Rome,1693439100,31/08/2023 01:45,20,68,Partly cloudy,73,25,6:33 am,7:48 pm,7:54 pm,5:18 am
Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa,1693439100,30/08/2023 17:45,29,84.2,Patchy light rain with thunder,55,25,5:37 am,6:02 pm,6:05 pm,5:06 am
Hungary,Budapest,47.5,19.08,Europe/Budapest,1693439100,31/08/2023 01:45,15,59,Clear,94,0,5:59 am,7:29 pm,7:39 pm,4:33 am
Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik,1693439100,30/08/2023 23:45,10.2,50.4,Overcast,88,100,5:58 am,8:44 pm,9:17 pm,3:53 am
India,New Delhi,28.6,77.2,Asia/Kolkata,1693439100,31/08/2023 05:15,29,84.2,Mist,70,25,5:58 am,6:45 pm,6:35 pm,4:44 am
Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta,1693439100,31/08/2023 06:45,24,75.2,Mist,94,25,5:54 am,5:53 pm,5:18 pm,5:05 am
Iran,Tehran,35.73,51.33,Asia/Tehran,1693439100,31/08/2023 03:15,23,73.4,Partly cloudy,47,50,5:35 am,6:35 pm,6:33 pm,4:18 am
Iraq,Baghdad,33.34,44.39,Asia/Baghdad,1693439100,31/08/2023 02:45,31,87.8,Clear,29,0,5:35 am,6:31 pm,6:27 pm,4:22 am
Ireland,Dublin,53.33,-6.25,Europe/Dublin,1693439100,31/08/2023 00:45,13,55.4,Light rain,82,75,6:30 am,8:20 pm,8:37 pm,4:59 am
Israel,Jerusalem,31.78,35.23,Asia/Jerusalem,1693439100,31/08/2023 02:45,25,77,Clear,83,0,6:13 am,7:06 pm,7:03 pm,5:04 am
Italy,Rome,41.9,12.48,Europe/Rome,1693439100,31/08/2023 01:45,20,68,Partly cloudy,73,25,6:33 am,7:48 pm,7:54 pm,5:17 am
Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica,1693439100,30/08/2023 18:45,32,89.6,Partly cloudy,67,25,5:53 am,6:22 pm,6:26 pm,5:17 am
Japan,Tokyo,35.69,139.69,Asia/Tokyo,1693439100,31/08/2023 08:45,30,86,Partly cloudy,66,25,5:11 am,6:12 pm,6:01 pm,3:36 am
Jordan,Amman,31.95,35.93,Asia/Amman,1693439100,31/08/2023 02:45,24,75.2,Clear,36,0,6:10 am,7:03 pm,7:00 pm,5:01 am
Kazakhstan,Astana,51.18,71.43,Asia/Almaty,1693439100,31/08/2023 05:45,8,46.4,Clear,76,0,6:23 am,8:06 pm,8:16 pm,4:36 am
Kenya,Nairobi,-1.28,36.82,Africa/Nairobi,1693439100,31/08/2023 02:45,17,62.6,Partly cloudy,77,75,6:31 am,6:36 pm,6:15 pm,5:49 am
Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa,1693439100,31/08/2023 11:45,29.1,84.4,Patchy rain possible,73,75,6:40 am,6:45 pm,6:04 pm,5:36 am
Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait,1693439100,31/08/2023 02:45,34.7,94.5,Clear,35,0,5:25 am,6:13 pm,6:07 pm,4:15 am
Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek,1693439100,31/08/2023 05:45,15.5,59.9,Overcast,72,94,6:23 am,7:41 pm,7:42 pm,4:51 am
Indonesia,Laos,-8.18,114.32,Asia/Jakarta,1693439100,31/08/2023 06:45,20.6,69.1,Partly cloudy,93,46,5:26 am,5:22 pm,4:44 pm,4:36 am
Latvia,Riga,56.95,24.1,Europe/Riga,1693439100,31/08/2023 02:45,19,66.2,Overcast,94,100,6:21 am,8:26 pm,8:47 pm,4:30 am
Lebanon,Beirut,33.87,35.51,Asia/Beirut,1693439100,31/08/2023 02:45,27,80.6,Partly cloudy,79,75,6:10 am,7:07 pm,7:05 pm,4:59 am
Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg,1693439100,31/08/2023 01:45,10.6,51.1,Clear,33,0,6:27 am,5:54 pm,5:20 pm,6:09 am
Liberia,Monrovia,6.31,-10.8,Africa/Monrovia,1693439100,30/08/2023 23:45,26,78.8,Partly cloudy,89,75,6:36 am,6:51 pm,6:41 pm,5:57 am
Thailand,Nan,18.78,100.78,Asia/Bangkok,1693439100,31/08/2023 06:45,25,77,Partly cloudy,100,75,6:02 am,6:33 pm,6:14 pm,4:52 am
Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz,1693439100,31/08/2023 01:45,16,60.8,Partly cloudy,68,75,6:38 am,8:06 pm,8:17 pm,5:15 am
Lithuania,Vilnius,54.68,25.32,Europe/Vilnius,1693439100,31/08/2023 02:45,19,66.2,Overcast,94,100,6:21 am,8:16 pm,8:34 pm,4:37 am
Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg,1693439100,31/08/2023 01:45,10,50,Clear,94,0,6:47 am,8:24 pm,8:36 pm,5:21 am
Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo,1693439100,31/08/2023 02:45,13,55.4,Partly cloudy,77,75,6:00 am,5:42 pm,5:10 pm,5:30 am
Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre,1693439100,31/08/2023 01:45,13,55.4,Clear,72,0,5:52 am,5:40 pm,5:13 pm,5:19 am
Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur,1693439100,31/08/2023 07:45,26,78.8,Partly cloudy,89,25,7:09 am,7:20 pm,6:51 pm,6:12 am
Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives,1693439100,31/08/2023 04:45,26,78.8,Light rain shower,85,84,6:00 am,6:15 pm,5:53 pm,5:07 am
Mali,Bamako,12.65,-8,Africa/Bamako,1693439100,30/08/2023 23:45,26,78.8,Partly cloudy,89,25,6:21 am,6:44 pm,6:36 pm,5:37 am
Malta,Valletta,35.9,14.51,Europe/Malta,1693439100,31/08/2023 01:45,24,75.2,Partly cloudy,83,25,6:32 am,7:33 pm,7:35 pm,5:23 am
Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro,1693439100,31/08/2023 11:45,31,87.8,Partly cloudy,71,75,6:27 am,6:43 pm,6:06 pm,5:16 am
Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott,1693439100,30/08/2023 23:45,26.3,79.3,Light rain shower,84,88,6:49 am,7:20 pm,7:16 pm,6:02 am
Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius,1693439100,31/08/2023 03:45,21,69.8,Partly cloudy,69,25,6:21 am,6:01 pm,5:27 pm,5:50 am
Mexico,Mexico City,19.43,-99.13,America/Mexico_City,1693439100,30/08/2023 17:45,24,75.2,Light rain,39,75,6:21 am,6:53 pm,7:00 pm,5:48 am
Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei,1693439100,31/08/2023 10:45,29,84.2,Overcast,79,100,6:20 am,6:36 pm,6:01 pm,5:12 am
Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk,1693439100,31/08/2023 06:45,19.7,67.5,Partly cloudy,59,48,5:50 am,7:35 pm,7:45 pm,3:56 am
Monaco,Monaco,43.73,7.42,Europe/Monaco,1693439100,31/08/2023 01:45,20,68,Clear,73,0,6:51 am,8:10 pm,8:18 pm,5:34 am
Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar,1693439100,31/08/2023 07:45,10,50,Partly cloudy,82,25,6:07 am,7:39 pm,7:43 pm,4:18 am
Montenegro,Podgorica,42.44,19.26,Europe/Podgorica,1693439100,31/08/2023 01:45,19,66.2,Partly cloudy,94,75,6:05 am,7:21 pm,7:27 pm,4:47 am
Morocco,Rabat,34.03,-6.84,Africa/Casablanca,1693439100,31/08/2023 00:45,18,64.4,Partly cloudy,94,75,6:59 am,7:56 pm,7:59 pm,5:57 am
Mozambique,Maputo,-25.97,32.59,Africa/Maputo,1693439100,31/08/2023 01:45,17,62.6,Clear,88,0,6:05 am,5:37 pm,5:03 pm,5:43 am
Myanmar,Pathein,16.78,94.73,Asia/Yangon,1693439100,31/08/2023 06:15,25.5,77.9,Partly cloudy,93,60,5:57 am,6:26 pm,6:07 pm,4:51 am
Namibia,Windhoek,-22.57,17.08,Africa/Windhoek,1693439100,31/08/2023 01:45,16,60.8,Clear,42,0,7:04 am,6:41 pm,6:12 pm,6:41 am
Turkey,Yaren,39.55,27.62,Europe/Istanbul,1693439100,31/08/2023 02:45,23,73.4,Clear,61,0,6:35 am,7:45 pm,7:47 pm,5:19 am
Nepal,Kathmandu,27.72,85.32,Asia/Kathmandu,1693439100,31/08/2023 05:30,22,71.6,Partly cloudy,94,75,5:42 am,6:27 pm,6:16 pm,4:26 am
Netherlands,Amsterdam,52.37,4.89,Europe/Amsterdam,1693439100,31/08/2023 01:45,13,55.4,Moderate rain,88,25,6:48 am,8:33 pm,8:49 pm,5:15 am
New Zealand,Wellington,-41.3,174.78,Pacific/Auckland,1693439100,31/08/2023 11:45,14,57.2,Partly cloudy,72,75,6:50 am,5:54 pm,4:35 pm,6:30 am
Nicaragua,Managua,12.15,-86.27,America/Managua,1693439100,30/08/2023 17:45,34,93.2,Partly cloudy,56,25,5:35 am,5:57 pm,6:00 pm,5:04 am
Niger,Niamey,13.52,2.12,Africa/Niamey,1693439100,31/08/2023 00:45,24,75.2,Clear,83,0,6:40 am,7:04 pm,6:56 pm,5:53 am
Nigeria,Abuja,9.18,7.18,Africa/Lagos,1693439100,31/08/2023 00:45,24,75.2,Partly cloudy,94,25,6:23 am,6:41 pm,6:30 pm,5:38 am
North Korea,Pyongyang,39.02,125.75,Asia/Pyongyang,1693439100,31/08/2023 08:45,20.1,68.2,Partly cloudy,87,31,6:03 am,7:12 pm,7:05 pm,4:26 am
Macedonia,Skopje,42,21.43,Europe/Skopje,1693439100,31/08/2023 01:45,19,66.2,Partly cloudy,68,25,5:57 am,7:12 pm,7:17 pm,4:39 am
Norway,Oslo,59.92,10.75,Europe/Oslo,1693439100,31/08/2023 01:45,13,55.4,Partly cloudy,94,75,6:06 am,8:27 pm,8:53 pm,4:09 am
Oman,Muscat,23.61,58.59,Asia/Muscat,1693439100,31/08/2023 03:45,29,84.2,Partly cloudy,94,25,5:47 am,6:26 pm,6:15 pm,4:41 am
Pakistan,Islamabad,33.7,73.17,Asia/Karachi,1693439100,31/08/2023 04:45,25.7,78.3,Clear,55,11,5:40 am,6:36 pm,6:30 pm,4:20 am
Palau,Adkip,7.36,134.51,Pacific/Palau,1693439100,31/08/2023 08:45,29,84.2,Partly cloudy,79,75,5:55 am,6:11 pm,5:40 pm,4:49 am
Bolivia,National,-11.18,-67.08,America/La_Paz,1693439100,30/08/2023 19:45,31.1,88,Clear,40,15,6:33 am,6:25 pm,6:17 pm,6:13 am
Panama,Panama City,8.97,-79.53,America/Panama,1693439100,30/08/2023 18:45,30,86,Partly cloudy,84,50,6:10 am,6:27 pm,6:28 pm,5:40 am
Papua New Guinea,Port Moresby,-9.46,147.19,Pacific/Port_Moresby,1693439100,31/08/2023 09:45,27,80.6,Mist,62,0,6:15 am,6:09 pm,5:26 pm,5:22 am
Paraguay,Carreria,-21.55,-58.12,America/Asuncion,1693439100,30/08/2023 19:45,29.2,84.6,Clear,37,23,6:04 am,5:43 pm,5:29 pm,5:50 am
Peru,Lima,-12.05,-77.05,America/Lima,1693439100,30/08/2023 18:45,18.7,65.7,Partly cloudy,79,51,6:13 am,6:05 pm,5:58 pm,5:56 am
Philippines,Manila,14.6,120.98,Asia/Manila,1693439100,31/08/2023 07:45,25,77,Light rain,100,100,5:44 am,6:10 pm,5:46 pm,4:34 am
Poland,Warsaw,52.25,21,Europe/Warsaw,1693439100,31/08/2023 01:45,16,60.8,Partly cloudy,94,75,5:44 am,7:29 pm,7:44 pm,4:07 am
Portugal,Lisbon,38.72,-9.13,Europe/Lisbon,1693439100,31/08/2023 00:45,19,66.2,Partly cloudy,78,25,7:04 am,8:10 pm,8:16 pm,5:57 am
Qatar,Doha,25.29,51.53,Asia/Qatar,1693439100,31/08/2023 02:45,34,93.2,Clear,67,0,5:14 am,5:55 pm,5:47 pm,4:08 am
Romania,Bucharest,44.43,26.1,Europe/Bucharest,1693439100,31/08/2023 02:45,20,68,Partly cloudy,94,50,6:35 am,7:57 pm,8:03 pm,5:13 am
Russia,Moscow,55.75,37.62,Europe/Moscow,1693439100,31/08/2023 02:45,13,55.4,Clear,88,0,5:30 am,7:30 pm,7:48 pm,3:39 am
Rwanda,Kigali,-1.95,30.06,Africa/Kigali,1693439100,31/08/2023 01:45,20,68,Partly cloudy,56,25,5:59 am,6:03 pm,5:43 pm,5:18 am
Saint Kitts and Nevis,Basseterre,17.3,-62.72,America/St_Kitts,1693439100,30/08/2023 19:45,29,84.2,Partly cloudy,79,25,5:57 am,6:26 pm,6:27 pm,5:19 am
Saint Lucia,Castries,14,-61,America/St_Lucia,1693439100,30/08/2023 19:45,28,82.4,Partly cloudy,84,50,5:52 am,6:17 pm,6:17 pm,5:16 am
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,America/St_Vincent,1693439100,30/08/2023 19:45,28.9,84,Patchy rain possible,78,79,5:54 am,6:17 pm,6:17 pm,5:18 am
Samoa,Apia,-13.83,-171.73,Pacific/Apia,1693439100,31/08/2023 12:45,29,84.2,Partly cloudy,75,75,6:33 am,6:22 pm,5:28 pm,5:39 am
San Marino,San Marino,43.93,12.45,Europe/Rome,1693439100,31/08/2023 01:45,17,62.6,Clear,83,0,6:31 am,7:50 pm,7:58 pm,5:12 am
Belgium,'S-Gravenwezel,51.27,4.55,Europe/Brussels,1693439100,31/08/2023 01:45,11,51.8,Clear,94,0,6:51 am,8:33 pm,8:47 pm,5:21 am
Saudi Arabia,Riyadh,24.64,46.77,Asia/Riyadh,1693439100,31/08/2023 02:45,31,87.8,Clear,22,0,5:33 am,6:14 pm,6:05 pm,4:29 am
Senegal,Dakar,14.67,-17.44,Africa/Dakar,1693439100,30/08/2023 23:45,27,80.6,Partly cloudy,89,25,6:57 am,7:23 pm,7:18 pm,6:13 am
Serbia,Belgrade,44.8,20.47,Europe/Belgrade,1693439100,31/08/2023 01:45,16,60.8,Clear,100,0,5:58 am,7:20 pm,7:27 pm,4:35 am
Seychelles Islands,Victoria,-4.62,55.45,Indian/Mahe,1693439100,31/08/2023 03:45,26,78.8,Partly cloudy,79,50,6:18 am,6:19 pm,5:54 pm,5:36 am
Sierra Leone,Freetown,8.49,-13.23,Africa/Freetown,1693439100,30/08/2023 23:45,27,80.6,Partly cloudy,84,50,6:45 am,7:02 pm,6:54 pm,6:04 am
Singapore,Singapore,1.29,103.86,Asia/Singapore,1693439100,31/08/2023 07:45,28,82.4,Partly cloudy,79,75,7:01 am,7:10 pm,6:39 pm,6:06 am
Slovakia,Bratislava,48.15,17.12,Europe/Bratislava,1693439100,31/08/2023 01:45,15,59,Clear,88,0,6:06 am,7:38 pm,7:49 pm,4:39 am
Slovenia,Ljubljana,46.06,14.51,Europe/Ljubljana,1693439100,31/08/2023 01:45,14,57.2,Partly cloudy,100,75,6:19 am,7:45 pm,7:54 pm,4:57 am
Solomon Islands,Honiara,-9.43,159.95,Pacific/Guadalcanal,1693439100,31/08/2023 10:45,28,82.4,Partly cloudy,84,75,6:24 am,6:18 pm,5:33 pm,5:29 am
Somalia,Mogadishu,2.07,45.37,Africa/Mogadishu,1693439100,31/08/2023 02:45,24.2,75.6,Partly cloudy,84,48,5:55 am,6:04 pm,5:44 pm,5:09 am
South Africa,Pretoria,-25.75,28.19,Africa/Johannesburg,1693439100,31/08/2023 01:45,13,55.4,Clear,51,0,6:22 am,5:54 pm,5:22 pm,6:00 am
South Korea,Seoul,37.57,127,Asia/Seoul,1693439100,31/08/2023 08:45,22,71.6,Partly cloudy,94,75,6:00 am,7:05 pm,6:57 pm,4:24 am
Sudan,Juba,12.15,24.45,Africa/Khartoum,1693439100,31/08/2023 01:45,20.9,69.6,Light rain shower,89,62,6:11 am,6:34 pm,6:21 pm,5:22 am
Spain,Madrid,40.4,-3.68,Europe/Madrid,1693439100,31/08/2023 01:45,21,69.8,Clear,40,0,7:40 am,8:50 pm,8:57 pm,6:29 am
Sri Lanka,Colombo,6.93,79.85,Asia/Colombo,1693439100,31/08/2023 05:15,26,78.8,Moderate rain,94,50,6:04 am,6:19 pm,5:56 pm,5:08 am
Sudan,Khartoum,15.59,32.53,Africa/Khartoum,1693439100,31/08/2023 01:45,28.7,83.7,Partly cloudy,50,30,5:37 am,6:04 pm,5:52 pm,4:43 am
Suriname,Paramaribo,5.83,-55.17,America/Paramaribo,1693439100,30/08/2023 20:45,29,84.2,Patchy light rain with thunder,79,25,6:34 am,6:48 pm,6:44 pm,6:02 am
Sweden,Stockholm,59.33,18.05,Europe/Stockholm,1693439100,31/08/2023 01:45,11,51.8,Clear,100,0,5:39 am,7:57 pm,8:21 pm,3:42 am
Switzerland,Bern,46.92,7.47,Europe/Zurich,1693439100,31/08/2023 01:45,13,55.4,Overcast,88,100,6:46 am,8:14 pm,8:24 pm,5:24 am
Syria,Damascus,33.5,36.3,Asia/Damascus,1693439100,31/08/2023 02:45,23,73.4,Clear,61,0,6:07 am,7:03 pm,7:01 pm,4:56 am
Tajikistan,Dushanbe,38.56,68.77,Asia/Dushanbe,1693439100,31/08/2023 04:45,24,75.2,Partly cloudy,44,50,5:52 am,6:59 pm,6:57 pm,4:28 am
Tanzania,Dodoma,-6.18,35.75,Africa/Dar_es_Salaam,1693439100,31/08/2023 02:45,18.9,66,Clear,61,8,6:38 am,6:37 pm,6:14 pm,6:00 am
Thailand,Bangkok,13.75,100.52,Asia/Bangkok,1693439100,31/08/2023 06:45,27,80.6,Partly cloudy,94,50,6:06 am,6:31 pm,6:09 pm,5:02 am
Indonesia,Murong Timor,-7.56,112.27,Asia/Jakarta,1693439100,31/08/2023 06:45,20.8,69.4,Sunny,88,5,5:34 am,5:31 pm,4:54 pm,4:44 am
Bulgaria,Lom,43.81,23.24,Europe/Bucharest,1693439100,31/08/2023 02:45,22.8,73,Partly cloudy,42,45,6:48 am,8:07 pm,8:13 pm,5:27 am
Tonga,Nuku`Aloia,-21.13,-175.2,Pacific/Tongatapu,1693439100,31/08/2023 12:45,26,78.8,Partly cloudy,65,50,6:53 am,6:31 pm,5:32 pm,6:05 am
Trinidad and Tobago,Port Of Spain,10.65,-61.52,America/Port_of_Spain,1693439100,30/08/2023 19:45,29,84.2,Overcast,79,25,5:57 am,6:17 pm,6:15 pm,5:23 am
Tunisia,Tunis,36.8,10.18,Africa/Tunis,1693439100,31/08/2023 00:45,24,75.2,Partly cloudy,78,25,5:49 am,6:51 pm,6:54 pm,4:39 am
Turkey,Ankara,39.93,32.86,Europe/Istanbul,1693439100,31/08/2023 02:45,21,69.8,Clear,40,0,6:14 am,7:24 pm,7:27 pm,4:56 am
Turkmenistan,Ashgabat,37.95,58.38,Asia/Ashgabat,1693439100,31/08/2023 04:45,19,66.2,Clear,56,0,6:34 am,7:40 pm,7:39 pm,5:13 am
Tuvalu,Funafuti,-8.52,179.22,Pacific/Funafuti,1693439100,31/08/2023 11:45,33,91.4,Partly cloudy,80,75,6:06 am,6:02 pm,5:14 pm,5:08 am
Uganda,Kampala,0.32,32.57,Africa/Kampala,1693439100,31/08/2023 02:45,20,68,Partly cloudy,94,25,6:47 am,6:54 pm,6:34 pm,6:04 am
Ukraine,Lviv,49.83,24,Europe/Kiev,1693439100,31/08/2023 02:45,15.8,60.4,Heavy rain at times,95,81,6:35 am,8:13 pm,8:25 pm,5:04 am
United Arab Emirates,Abu Dhabi,24.47,54.37,Asia/Dubai,1693439100,31/08/2023 03:45,33,91.4,Clear,63,0,6:03 am,6:43 pm,6:33 pm,4:57 am
United Kingdom,London,51.52,-0.11,Europe/London,1693439100,31/08/2023 00:45,13,55.4,Overcast,77,100,6:09 am,7:52 pm,8:07 pm,4:40 am
United States of America,Washington Park,46.6,-120.49,America/Los_Angeles,1693439100,30/08/2023 16:45,26.7,80.1,Sunny,28,0,6:19 am,7:45 pm,8:04 pm,5:29 am
Uruguay,Montevideo,-34.86,-56.17,America/Montevideo,1693439100,30/08/2023 20:45,15,59,Clear,72,0,7:07 am,6:24 pm,6:03 pm,7:03 am
Uzbekistan,Tashkent,41.32,69.25,Asia/Tashkent,1693439100,31/08/2023 04:45,19,66.2,Partly cloudy,83,37,5:47 am,7:00 pm,7:01 pm,4:18 am
Vanuatu,Port Vila,-17.73,168.32,Pacific/Efate,1693439100,31/08/2023 10:45,28,82.4,Partly cloudy,79,75,5:56 am,5:40 pm,4:46 pm,5:08 am
Venezuela,Caracas,10.5,-66.92,America/Caracas,1693439100,30/08/2023 19:45,30,86,Partly cloudy,62,50,6:18 am,6:38 pm,6:38 pm,5:46 am
Vietnam,Hanoi,21.03,105.85,Asia/Bangkok,1693439100,31/08/2023 06:45,25,77,Sunny,89,0,5:40 am,6:15 pm,5:57 pm,4:27 am
Yemen,Sanaa,15.35,44.21,Asia/Aden,1693439100,31/08/2023 02:45,17.8,64,Thundery outbreaks possible,53,47,5:51 am,6:17 pm,6:04 pm,4:54 am
Zambia,Lusaka,-15.42,28.28,Africa/Lusaka,1693439100,31/08/2023 01:45,15.1,59.2,Clear,42,0,6:14 am,6:01 pm,5:35 pm,5:44 am
